Bound ; NuSMV ; Python 
0 ;0.01470 ; 0.18657 ; 
1 ;0.01477 ; 0.19183 ; 
2 ;0.01512 ; 0.18928 ; 
3 ;0.01952 ; 0.19290 ; 
4 ;0.02393 ; 0.20667 ; 
5 ;0.03159 ; 0.21382 ; 
6 ;0.04707 ; 0.23428 ; 
7 ;0.05816 ; 0.26525 ; 
8 ;0.07009 ; 0.28531 ; 
9 ;0.09275 ; 0.31858 ; 
10 ;0.13799 ; 0.36245 ; 
11 ;0.18575 ; 0.42844 ; 
12 ;0.16541 ; 0.43561 ; 
13 ;0.15997 ; 0.42745 ; 
14 ;0.19007 ; 0.41724 ; 
15 ;0.15113 ; 0.42619 ; 
16 ;0.14974 ; 0.42753 ; 
17 ;0.16847 ; 0.44219 ; 
18 ;0.15898 ; 0.42468 ; 
19 ;0.20577 ; 0.43816 ; 
20 ;0.16750 ; 0.44352 ; 
21 ;0.18711 ; 0.42488 ; 
22 ;0.18962 ; 0.45709 ; 
23 ;0.17433 ; 0.46035 ; 
24 ;0.19699 ; 0.48788 ; 
25 ;0.16506 ; 0.52578 ; 
26 ;0.16856 ; 0.50252 ; 
27 ;0.18494 ; 0.48065 ; 
28 ;0.17286 ; 0.50270 ; 
29 ;0.21950 ; 0.50659 ; 
30 ;0.18933 ; 0.52217 ; 


